rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
173,Crichtonsaurus,1789,1789,hard,283,,,,https://images.dinosaurpictures.org/Crichtonsaurus/Crichtonsaurus_e435bcc3.jpg
174,Xuanhanosaurus,1765,1765,hard,1123,,,,https://images.dinosaurpictures.org/Xuanhanosaurus/Xuanhanosaurus_01aa2591.jpg
175,Aegyptosaurus,1757,1757,hard,23,,,,https://images.dinosaurpictures.org/Aegyptosaurus/Aegyptosaurus_fbe2f10a.jpg
176,Juravenator,1749,1749,hard,501,,,,https://images.dinosaurpictures.org/Juravenator/Juravenator_fdb828ee.jpg
177,Jobaria,1737,1737,hard,516,,,,https://images.dinosaurpictures.org/Jobaria/Jobaria_b80447bc.jpg
178,Scansoriopteryx,1734,1734,hard,905,,,,https://images.dinosaurpictures.org/Scansoriopteryx/Scansoriopteryx_80db225d.jpg
179,Xiongguanlong,1707,1707,hard,1134,,,,https://images.dinosaurpictures.org/Xiongguanlong/Xiongguanlong_974369f6.jpg
180,Genyodectes,1698,1698,hard,374,,,,https://images.dinosaurpictures.org/Genyodectes/Genyodectes_345af480.jpg
181,Rapator,1688,1688,hard,878,,,,https://images.dinosaurpictures.org/Rapator/Rapator_466463ef.jpg
182,Pegomastax,1682,1682,hard,792,,,,https://images.dinosaurpictures.org/Pegomastax/Pegomastax_83500c82.jpg
183,Antarctosaurus,1639,1639,hard,87,,,,https://images.dinosaurpictures.org/Antarctosaurus/Antarctosaurus_ba2856f0.jpg
184,Juratyrant,1637,1637,hard,523,,,,https://images.dinosaurpictures.org/Juratyrant/Juratyrant_d4d05952.jpg
185,Euhelopus,1632,1632,hard,373,,,,https://images.dinosaurpictures.org/Euhelopus/Euhelopus_649ba521.jpg
186,Pectinodon,1625,1625,hard,831,,,,https://images.dinosaurpictures.org/Pectinodon/Pectinodon_8392b0cb.jpg
187,Dracoraptor,1615,1615,hard,342,,,,https://images.dinosaurpictures.org/Dracoraptor/Dracoraptor_76037076.jpg
188,Avaceratops,1594,1594,hard,152,,,,https://images.dinosaurpictures.org/Avaceratops/Avaceratops_731b548f.jpg
189,Ruyangosaurus,1577,1577,hard,900,,,,https://images.dinosaurpictures.org/Ruyangosaurus/Ruyangosaurus_caea4419.jpg
190,Hesperonychus,1574,1574,hard,452,,,,https://images.dinosaurpictures.org/Hesperonychus/Hesperonychus_b846d05e.jpg
191,Anteavis,1563,1563,hard,136,,,,https://images.dinosaurpictures.org/Anteavis/Anteavis_dc330275.jpg
192,Lourinhanosaurus,1563,1563,hard,611,,,,https://images.dinosaurpictures.org/Lourinhanosaurus/Lourinhanosaurus_bb730526.jpg
193,Koleken,1555,1555,hard,621,,,,https://images.dinosaurpictures.org/Koleken/Koleken_146cce40.jpg
194,Utahceratops,1530,1530,hard,1091,,,,https://images.dinosaurpictures.org/Utahceratops/Utahceratops_963df435.jpg
195,Udanoceratops,1514,1514,hard,1018,,,,https://images.dinosaurpictures.org/Udanoceratops/Udanoceratops_f6b94369.jpg
196,Melanorosaurus,1506,1506,hard,702,,,,https://images.dinosaurpictures.org/Melanorosaurus/Melanorosaurus_b6598073.jpg
197,Alpkarakush,1496,1496,hard,96,,,,https://images.dinosaurpictures.org/Alpkarakush/Alpkarakush_cccf0eb6.jpg
198,Wannanosaurus,1470,1470,hard,1100,,,,https://images.dinosaurpictures.org/Wannanosaurus/Wannanosaurus_6ffbb3b2.jpg
199,Telmatosaurus,1454,1454,hard,1075,,,,https://images.dinosaurpictures.org/Telmatosaurus/Telmatosaurus_8ce7fac8.jpg
200,Orodromeus,1453,1453,hard,743,,,,https://images.dinosaurpictures.org/Orodromeus/Orodromeus_3ce5b665.jpg
201,Sciurumimus,1447,1447,hard,889,,,,https://images.dinosaurpictures.org/Sciurumimus/Sciurumimus_d732315b.jpg
202,Fukuivenator,1446,1446,hard,394,,,,https://images.dinosaurpictures.org/Fukuivenator/Fukuivenator_0f58b9e5.jpg
203,Amurosaurus,1443,1443,hard,155,,,,https://images.dinosaurpictures.org/Amurosaurus/Amurosaurus_7086cd55.jpg
204,Mymoorapelta,1429,1429,hard,651,,,,https://images.dinosaurpictures.org/Mymoorapelta/Mymoorapelta_fd57dbf7.jpg
205,Huanansaurus,1426,1426,hard,511,,,,https://images.dinosaurpictures.org/Huanansaurus/Huanansaurus_c3bd3419.jpg
206,Nqwebasaurus,1412,1412,hard,721,,,,https://images.dinosaurpictures.org/Nqwebasaurus/Nqwebasaurus_a20ca42a.jpg
207,Kileskus,1411,1411,hard,594,,,,https://images.dinosaurpictures.org/Kileskus/Kileskus_c1c12cae.jpg
208,Deinodon,1399,1399,hard,304,,,,https://images.dinosaurpictures.org/Deinodon/Deinodon_167467b7.jpg
209,Avimimus,1389,1389,hard,148,,,,https://images.dinosaurpictures.org/Avimimus/Avimimus_a8f0c14b.jpg
210,Lexovisaurus,1381,1381,hard,620,,,,https://images.dinosaurpictures.org/Lexovisaurus/Lexovisaurus_3b3b124c.jpg
211,Chucarosaurus,1360,1360,hard,313,,,,https://images.dinosaurpictures.org/Chucarosaurus/Chucarosaurus_b4ce33fb.jpg
212,Saurornithoides,1335,1335,hard,916,,,,https://images.dinosaurpictures.org/Saurornithoides/Saurornithoides_1872e39b.jpg
213,Panoplosaurus,1303,1303,hard,783,,,,https://images.dinosaurpictures.org/Panoplosaurus/Panoplosaurus_43bddea4.jpg
214,Altirhinus,1294,1294,hard,46,,,,https://images.dinosaurpictures.org/Altirhinus/Altirhinus_ef44b43c.jpg
215,Kamuysaurus,1294,1294,hard,557,,,,https://images.dinosaurpictures.org/Kamuysaurus/Kamuysaurus_b9dc7b06.jpg
216,Abditosaurus,1292,1292,hard,22,,,,https://images.dinosaurpictures.org/Abditosaurus/Abditosaurus_ac89cefb.jpg
217,Malawisaurus,1281,1281,hard,648,,,,https://images.dinosaurpictures.org/Malawisaurus/Malawisaurus_40ffdc1a.jpg
218,Turiasaurus,1272,1272,hard,1039,,,,https://images.dinosaurpictures.org/Turiasaurus/Turiasaurus_729e5f8e.jpg
219,Bagaceratops,1263,1263,hard,121,,,,https://images.dinosaurpictures.org/Bagaceratops/Bagaceratops_2b1797dc.jpg
220,Laquintasaura,1263,1263,hard,666,,,,https://images.dinosaurpictures.org/Laquintasaura/Laquintasaura_c8261499.jpg
221,Cedarosaurus,1258,1258,hard,219,,,,https://images.dinosaurpictures.org/Cedarosaurus/Cedarosaurus_3850736c.jpg
222,Garudimimus,1249,1249,hard,458,,,,https://images.dinosaurpictures.org/Garudimimus/Garudimimus_c2cf6620.jpg
223,Dromiceiomimus,1239,1239,hard,333,,,,https://images.dinosaurpictures.org/Dromiceiomimus/Dromiceiomimus_cac7e1b3.jpg
224,Talarurus,1236,1236,hard,985,,,,https://images.dinosaurpictures.org/Talarurus/Talarurus_d5c0a68c.jpg
225,Lufengosaurus,1232,1232,hard,668,,,,https://images.dinosaurpictures.org/Lufengosaurus/Lufengosaurus_4f548bf5.jpg
226,Wiehenvenator,1231,1231,hard,1126,,,,https://images.dinosaurpictures.org/Wiehenvenator/Wiehenvenator_fcf4256f.jpg
227,Maleriraptor,1219,1219,hard,673,,,,https://images.dinosaurpictures.org/Maleriraptor/Maleriraptor_997a088b.jpg
228,Abrictosaurus,1218,1218,hard,33,,,,https://images.dinosaurpictures.org/Abrictosaurus/Abrictosaurus_7d5906f0.jpg
229,Timurlengia,1215,1215,hard,1029,,,,https://images.dinosaurpictures.org/Timurlengia/Timurlengia_def417ae.jpg
230,Aeolosaurus,1214,1214,hard,34,,,,https://images.dinosaurpictures.org/Aeolosaurus/Aeolosaurus_4499b077.jpg
231,Lajasvenator,1213,1213,hard,592,,,,https://images.dinosaurpictures.org/Lajasvenator/Lajasvenator_c0abec04.jpg
232,Dysalotosaurus,1201,1201,hard,334,,,,https://images.dinosaurpictures.org/Dysalotosaurus/Dysalotosaurus_d58ed59b.jpg
233,Tyrannomimus,1188,1188,hard,1095,,,,https://images.dinosaurpictures.org/Tyrannomimus/Tyrannomimus_ba1f5abe.jpg
234,Overoraptor,1187,1187,hard,808,,,,https://images.dinosaurpictures.org/Overoraptor/Overoraptor_4582e575.jpg
